	1N	1T	2T	3N	3T	4N	5N	5T
Cntnap5a	0	0	0	0	0	0	0	0
Cntnap5b	0	0	0	0	0	0	0	0
Cntnap5c	0	0	0	0	0	0	0	0
Cntrl	19	20	20	28	32	28	24	29
Cntrob	8	14	4	12	20	2	6	17
Coa3	18	10	12	38	12	16	19	20
Coa4	8	4	12	8	6	6	0	2
Coa5	56	26	40	35	56	46	39	67
Coa6	11	8	0	12	4	4	14	8
Coa7	7	2	6	4	4	4	2	4
Coasy	2	17	15	11	13	29	20	21
Cobl	34	55	22	20	39	25	34	44
Cobll1	9	8	18	18	34	7	7	11
Coch	0	0	0	2	0	0	0	0
Cog1	43	20	18	36	30	28	31	21
Cog2	17	28	28	24	12	20	14	18
Cog3	18	20	29	43	28	30	32	37
Cog4	59	28	44	42	35	30	18	18
Cog5	14	10	8	10	26	11	4	20
Cog6	18	13	22	28	18	36	18	20
Cog7	18	29	20	10	20	26	13	16
Cog8	8	11	14	14	10	18	8	10
Coil	6	2	6	2	2	4	2	8
Col10a1	0	0	0	0	0	0	0	0
Col11a1	0	0	0	0	0	0	0	0
Col11a2	0	2	2	2	1	2	0	2
Col12a1	8	105	197	16	120	4	18	148
Col13a1	0	2	0	0	2	0	0	10
Col14a1	0	8	14	6	6	2	4	6
Col15a1	6	20	33	18	6	10	16	23
Col16a1	5	15	34	22	16	4	11	30
Col17a1	2	0	0	0	2	0	2	2
Col18a1	38	147	210	35	147	18	28	137
Col19a1	0	0	0	2	0	0	0	0
Col1a1	44	333	352	41	305	25	75	267
Col1a2	80	280	439	58	216	34	49	216
Col20a1	4	5	2	0	4	6	6	0
Col22a1	2	0	0	0	0	0	0	2
Col23a1	0	10	10	0	6	0	2	10
Col24a1	0	4	1	0	6	0	0	0
Col25a1	0	0	0	0	0	0	0	0
Col26a1	0	0	0	0	0	0	0	0
Col27a1	14	10	30	6	23	4	0	15
Col28a1	0	0	6	2	2	2	0	0
Col2a1	0	0	0	0	0	0	0	0
Col3a1	168	622	851	138	436	70	114	389
Col4a1	50	364	436	70	369	24	104	421
Col4a2	45	247	232	41	280	14	49	267
Col4a3	0	0	0	0	0	0	0	0
Col4a3bp	41	34	44	43	39	43	43	43
Col4a4	0	0	0	0	0	0	0	0
Col4a5	0	2	12	2	0	2	0	0
Col4a6	0	0	2	6	0	2	4	0
Col5a1	22	70	98	16	75	3	18	80
Col5a2	28	73	126	12	82	2	20	122
Col5a3	12	32	41	10	33	2	4	33
Col6a1	50	73	123	42	68	12	26	72
Col6a2	42	50	134	26	54	22	30	37
Col6a3	26	137	141	24	99	14	22	72
Col6a4	16	28	41	12	42	6	10	46
Col6a5	2	4	22	4	2	2	0	0
Col6a6	0	0	0	0	0	0	0	0
Col7a1	0	21	4	4	6	0	4	15
Col8a1	6	2	0	8	4	2	4	4
Col8a2	0	0	2	0	0	0	0	0
Col9a1	0	2	0	0	0	0	0	0
Col9a2	0	21	2	0	6	0	0	24
Col9a3	0	10	10	2	8	2	4	2
Colec10	2	0	0	0	0	0	0	0
Colec11	0	0	0	0	0	0	0	2
Colec12	4	13	12	0	4	2	4	18
Colgalt1	38	89	78	37	103	22	48	106
Colgalt2	0	0	0	0	0	0	0	0
Colq	0	0	0	0	0	0	0	0
Commd1	8	15	22	9	14	8	10	10
Commd10	7	12	16	3	18	6	14	18
Commd2	0	8	8	6	4	6	4	6
Commd3	6	8	12	13	18	7	8	17
Commd4	12	15	20	21	13	2	11	8
Commd5	4	7	12	8	2	2	4	6
Commd6	16	7	3	8	12	16	6	8
Commd7	10	10	16	10	36	6	12	28
Commd8	8	19	10	20	14	2	10	5
Commd9	10	8	8	7	11	20	8	6
Comp	2	0	2	0	2	0	0	0
Comt	19	41	28	8	74	22	29	50
Comtd1	10	10	8	10	12	10	8	0
Copa	184	138	140	176	153	145	123	160
Copb1	78	66	70	65	94	76	86	65
Copb2	80	83	89	118	85	108	99	57
Cope	30	31	47	43	29	56	37	30
Copg1	80	48	91	61	71	97	82	72
Copg2	28	26	8	27	39	27	20	29
Coprs	8	3	4	2	2	0	14	0
Cops2	12	36	21	35	24	26	33	38
Cops3	18	31	17	16	26	14	9	22
Cops4	36	27	26	32	26	16	23	37
Cops5	24	30	24	20	40	11	36	51
Cops6	22	18	38	24	26	34	16	21
Cops7a	27	41	46	30	34	35	31	51
Cops7b	8	11	4	10	4	4	8	6
Cops8	15	18	20	7	17	8	10	26
Copz1	50	38	60	59	51	42	48	47
Copz2	2	4	8	5	2	3	2	0
Coq10a	5	2	4	6	4	4	6	6
Coq10b	17	18	22	12	16	14	14	14
Coq2	24	22	24	15	22	18	22	16
Coq3	0	10	6	4	8	2	2	4
Coq4	4	11	4	2	4	6	2	10
Coq5	14	12	20	14	3	15	8	12
Coq6	14	8	2	8	10	7	0	4
Coq7	14	4	4	2	10	2	4	9
Coq9	31	18	24	31	17	36	16	22
Corin	0	0	0	0	0	0	0	0
Coro1a	14	25	40	16	18	12	8	31
Coro1b	177	93	120	125	100	135	130	99
Coro1c	77	76	124	78	82	118	69	79
Coro2a	127	22	161	121	41	152	157	37
Coro2b	0	6	1	0	2	4	0	0
Coro6	0	0	0	0	0	0	0	0
Coro7	12	18	16	13	18	26	16	14
Cort	0	0	0	0	0	0	0	0
Cotl1	28	54	39	34	38	33	21	43
Cox10	13	5	7	9	13	14	13	13
Cox11	8	10	4	4	14	10	4	2
Cox14	24	16	22	19	12	18	28	12
Cox15	18	16	22	20	16	18	22	18
Cox16	0	0	2	0	1	1	5	4
Cox17	16	4	22	14	20	10	16	15
Cox18	2	7	5	11	4	2	6	0
Cox19	13	8	4	6	12	6	7	14
Cox20	10	11	8	16	14	14	5	13
Cox4i1	181	136	97	143	83	178	160	113
Cox4i2	0	0	0	0	0	0	0	0
Cox5a	84	56	76	115	68	117	99	88
Cox5b	97	40	57	68	65	110	82	62
Cox6a1	158	79	79	142	89	191	239	67
Cox6a2	0	0	0	0	0	0	0	0
Cox6b1	115	67	81	62	73	83	70	71
Cox6b2	0	0	0	2	2	2	0	0
Cox6c	85	44	50	127	48	69	84	35
Cox7a1	6	2	0	6	0	12	8	4
Cox7a2	32	36	24	42	42	62	50	18
Cox7a2l	39	47	28	59	54	54	61	53
Cox7b	67	32	41	57	37	75	62	30
Cox7b2	0	0	0	0	0	0	0	0
Cox7c	47	62	53	61	44	59	74	20
Cox8a	131	75	80	131	88	155	139	64
Cox8b	0	0	0	0	0	0	0	0
Cox8c	0	0	0	0	0	0	0	0
Cp	4	29	32	3	31	0	8	46
Cpa1	0	0	0	0	0	4	0	0
Cpa2	0	0	0	0	0	0	0	0
Cpa3	4	0	6	0	2	2	3	2
Cpa4	0	0	0	0	0	0	0	0
Cpa5	0	0	0	0	0	0	0	0
Cpa6	0	0	0	0	0	0	0	0
Cpb1	0	0	0	0	0	0	0	0
Cpb2	0	0	0	0	0	0	0	0
Cpd	184	76	128	210	113	200	225	99
Cpe	4	4	8	14	15	16	27	10
Cpeb1	0	2	0	0	0	0	2	0
Cpeb2	23	15	20	20	26	15	14	12
Cpeb3	2	0	0	0	2	2	3	0
Cpeb4	64	31	26	55	23	57	47	19
Cped1	2	2	14	6	0	2	0	8
Cphx1	0	0	0	0	0	0	0	0
Cphx2	0	0	0	0	0	0	0	0
Cplx1	0	0	0	0	0	0	0	0
Cplx2	4	32	16	11	23	2	9	10
Cplx3	0	0	0	0	0	0	0	0
Cplx4	0	0	0	0	0	0	0	0
Cpm	23	18	6	12	68	28	9	51
Cpn1	2	2	18	0	14	4	2	8
Cpn2	0	0	0	2	0	4	2	0
Cpne1	14	32	51	16	44	30	26	46
Cpne2	32	8	16	23	6	14	22	14
Cpne3	53	65	72	64	49	73	40	47
Cpne4	0	0	0	0	0	0	4	0
Cpne5	0	2	0	0	2	2	0	0
Cpne6	0	0	0	0	0	0	0	0
Cpne7	0	0	0	0	0	0	0	0
Cpne8	0	0	6	6	0	2	2	2
Cpne9	0	0	0	0	0	0	0	0
Cpox	14	14	21	14	11	14	22	19
Cpped1	32	18	29	32	5	32	31	15
Cpq	17	17	18	22	8	11	24	17
Cps1	2	0	0	0	4	4	6	0
Cpsf1	29	41	31	46	33	34	24	38
Cpsf2	22	45	18	17	50	24	26	41
Cpsf3	27	25	38	26	23	25	8	34
Cpsf3l	16	30	26	10	39	15	18	26
Cpsf4	2	7	10	13	13	10	14	10
Cpsf4l	0	0	3	0	1	0	0	0
Cpsf6	35	66	50	44	62	47	41	58
Cpsf7	16	54	44	20	39	40	13	55
Cpt1a	111	55	56	90	40	143	116	45
Cpt1b	0	0	0	0	1	0	0	0
Cpt1c	2	4	9	0	6	2	0	7
Cpt2	32	33	20	36	29	36	33	42
Cptp	3	14	6	10	8	16	10	4
Cpvl	0	0	0	0	0	0	0	0
Cpxcr1	0	0	0	0	0	0	0	0
Cpxm1	6	0	6	0	0	0	0	2
Cpxm2	2	24	0	2	11	4	0	12
Cpz	0	0	3	0	0	0	0	0
Cr1l	21	22	27	13	6	18	20	12
Cr2	0	0	0	0	0	0	0	0
Crabp1	0	0	0	0	0	0	0	0
Crabp2	0	0	0	0	0	0	0	0
Cracr2a	4	0	2	10	0	1	0	6
Cracr2b	14	23	16	12	24	14	16	30
Cradd	0	0	4	0	4	0	0	0
Cramp1l	32	37	42	14	35	22	31	38
Crat	14	34	13	12	15	17	32	32
Crb1	0	0	0	0	0	0	0	0
Crb2	0	0	0	0	0	0	0	0
Crb3	38	40	45	12	40	27	22	38
Crbn	10	16	8	5	8	12	6	8
Crcp	12	18	7	4	20	8	8	20
Crct1	0	0	0	0	0	0	0	0
Creb1	18	40	46	29	42	18	42	47
Creb3	17	14	18	18	16	24	12	17
Creb3l1	95	27	32	99	30	127	83	38
Creb3l2	12	12	17	2	15	6	8	25
Creb3l3	10	0	4	0	0	6	28	2
Creb3l4	11	16	12	7	2	8	15	9
Creb5	0	0	2	0	3	0	0	2
Crebbp	21	26	24	22	46	20	30	34
Crebl2	11	1	4	8	8	4	6	4
Crebrf	20	9	16	16	11	6	30	10
Crebzf	56	43	35	32	27	28	34	44
Creg1	13	4	10	9	6	13	8	22
Creg2	0	0	0	0	0	0	0	2
Creld1	4	18	16	0	7	6	10	36
Creld2	13	24	41	31	15	24	18	21
Crem	5	8	24	2	8	0	2	10
Crh	0	0	0	0	0	0	0	0
Crhbp	0	0	0	0	0	0	0	0
Crhr1	0	0	0	0	0	0	0	0
Crhr2	0	0	0	0	0	0	0	0
Crim1	22	14	20	20	5	10	22	12
Crip1	109	65	36	83	29	172	113	42
Crip2	17	14	2	8	20	2	6	24
Crip3	0	0	0	0	0	0	0	0
Cript	17	13	14	18	16	32	14	12
Crisp1	0	0	0	0	0	0	0	0
Crisp2	0	0	0	0	0	0	0	0
Crisp3	2	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0
Crispld2	7	5	24	10	8	2	4	6
Crk	100	94	137	98	72	114	96	97
Crkl	14	34	23	14	32	19	26	22
Crlf1	0	0	0	0	0	0	0	2
Crlf2	0	10	10	6	14	0	0	0
Crlf3	7	10	12	2	8	1	8	6
Crls1	12	10	14	13	14	12	14	10
Crmp1	0	4	0	0	0	0	0	2
Crnde	0	2	0	0	0	0	0	0
Crnkl1	8	32	28	10	16	16	14	18
Crnn	2	0	0	0	0	2	0	0
Crocc	4	11	0	6	11	4	8	6
Crot	7	34	18	16	6	20	11	12
Crp	0	0	0	0	0	0	0	0
Crtac1	0	0	0	0	0	0	0	0
Crtam	0	0	0	0	0	0	0	0
Crtap	2	10	8	6	6	8	4	9
Crtc1	8	21	8	12	16	4	10	18
Crtc2	25	22	11	10	27	12	20	14
Crtc3	6	16	0	8	32	8	10	14
Crx	0	0	0	0	0	0	0	0
Crxos	0	0	0	0	0	0	0	0
Cry1	8	18	6	6	6	4	14	4
Cry2	13	20	10	4	12	6	8	16
Cryaa	0	0	0	0	0	0	0	0
Cryab	6	6	4	2	2	0	0	6
Cryba1	0	0	0	0	0	0	0	0
Cryba2	0	0	0	0	0	0	2	0
Cryba4	0	0	0	0	0	0	0	0
Crybb1	0	0	0	0	0	0	0	0
Crybb2	0	0	0	0	0	0	0	0
Crybb3	2	0	0	0	0	1	0	0
Crybg3	8	18	15	12	13	6	18	7
Cryga	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0
Cryge	0	0	0	0	0	0	0	0
Crygf	0	0	0	0	0	0	0	0
Crygn	0	0	0	0	0	0	0	0
Crygs	0	0	0	0	0	0	0	0
Cryl1	23	1	10	20	4	28	56	6
Crym	0	2	0	6	0	0	0	0
Cryz	16	10	8	2	2	4	0	12
Cryzl1	3	8	9	14	9	13	13	0
Cs	229	132	156	214	129	340	261	147
Csad	2	16	13	4	30	16	11	28
Csdc2	0	0	0	0	0	0	0	0
Csde1	94	106	113	90	119	65	76	125
Cse1l	28	64	48	33	45	14	24	66
Csf1	6	30	14	1	28	2	14	26
Csf1r	22	42	87	34	45	4	14	51
Csf2	0	2	0	0	0	0	0	0
Csf2ra	16	15	28	8	18	13	10	23
Csf2rb	5	20	23	8	21	2	4	25
Csf2rb2	4	7	19	4	15	5	10	5
Csf3	0	0	0	0	0	0	0	2
Csf3r	0	4	11	4	14	0	6	9
Csgalnact1	0	2	2	0	5	0	0	0
Csgalnact2	2	0	0	8	8	0	0	6
Csk	55	36	56	38	48	51	68	49
Csl	0	0	0	0	1	0	0	0
Csmd1	0	0	0	0	0	0	0	0
Csmd2	0	0	1	0	0	0	0	0
Csmd2os	0	0	0	0	0	0	0	0
Csmd3	0	0	0	0	0	0	0	0
Csn1s1	0	0	0	0	0	0	0	0
Csn1s2a	0	0	0	0	0	0	0	0
Csn1s2b	0	0	0	0	0	0	0	0
Csn2	0	0	0	0	0	0	0	0
Csn3	0	0	0	0	0	0	0	0
Csnk1a1	79	159	133	92	186	98	72	141
Csnk1d	78	94	80	47	145	86	108	97
Csnk1e	12	63	23	7	67	15	13	81
Csnk1g1	14	18	14	14	29	12	18	17
Csnk1g2	64	81	55	38	62	44	64	80
Csnk1g3	14	24	48	38	28	28	28	46
Csnk2a1	40	70	68	45	58	51	81	38
Csnk2a2	7	14	12	12	15	6	14	22
Csnk2b	23	31	42	32	24	26	18	35
Csnka2ip	0	0	0	0	0	0	0	0
Cspg4	0	2	2	4	10	0	0	6
Cspg5	0	0	0	0	0	0	0	0
Cspp1	10	18	16	10	12	10	9	4
Csprs	0	0	0	0	0	0	0	0
Csrnp1	10	2	6	6	8	4	2	9
Csrnp2	0	12	7	4	4	2	6	18
Csrnp3	0	1	0	0	4	0	0	0
Csrp1	29	100	58	28	62	20	34	99
Csrp2	28	34	22	52	40	38	21	28
Csrp2bp	9	23	16	13	25	4	10	23
Csrp3	0	0	0	0	0	0	0	0
Cst10	0	0	0	0	0	0	0	0
Cst11	0	0	0	0	0	0	0	0
Cst12	0	0	0	0	0	0	0	0
Cst13	0	0	0	0	0	0	0	0
Cst3	54	54	92	54	75	39	46	76
Cst6	0	0	2	2	0	0	0	0
Cst7	0	0	0	0	0	0	0	0
Cst8	0	0	0	0	0	0	0	0
Cst9	0	0	0	0	0	0	0	0
Csta1	2	0	4	2	0	0	0	0
Cstad	0	0	2	0	0	0	0	0
Cstb	16	28	26	16	28	14	18	20
Cstf1	11	8	14	12	12	6	6	30
Cstf2	26	38	32	25	26	19	26	32
Cstf2t	27	38	18	16	16	6	25	14
Cstf3	10	20	23	18	26	28	16	27
Cstl1	0	0	0	0	0	0	0	0
Ctag2	0	0	0	0	0	0	0	0
Ctage5	50	52	39	41	51	54	50	55
Ctbp1	82	99	88	72	84	80	85	113
Ctbp2	19	43	42	32	30	32	24	36
Ctbs	0	2	5	2	2	0	0	2
Ctc1	12	11	15	12	19	8	8	14
Ctcf	37	43	35	42	55	30	32	46
Ctcfl	0	0	0	0	0	0	0	0
Ctcflos	0	0	0	0	0	0	0	0
Ctdnep1	28	40	41	31	16	33	42	41
Ctdp1	6	29	14	13	17	6	8	20
Ctdsp1	50	32	56	48	50	29	45	54
Ctdsp2	49	80	74	88	72	105	148	88
Ctdspl	6	8	6	26	6	19	23	8
Ctdspl2	10	14	4	8	13	10	14	14
Ctf1	2	6	0	0	2	2	0	0
Ctf2	0	0	0	0	0	0	0	0
Ctgf	6	26	29	4	17	2	2	34
Cth	6	2	4	24	4	50	30	2
Cthrc1	0	2	0	0	0	0	0	0
Ctif	8	16	12	6	26	2	6	11
Ctla2a	0	4	3	0	0	0	2	2
Ctla2b	0	0	2	0	2	0	4	0
Ctla4	0	2	2	0	0	0	0	2
Ctnna1	243	256	255	253	325	262	254	203
Ctnna2	0	0	0	0	0	0	2	0
Ctnna3	0	0	0	0	0	0	0	0
Ctnnal1	4	6	8	11	10	4	10	14
Ctnnb1	433	825	672	450	706	435	492	730
Ctnnbip1	10	12	12	16	4	12	4	16
Ctnnbl1	2	8	16	2	16	10	8	19
Ctnnd1	307	288	297	272	228	309	283	238
Ctnnd2	0	0	2	0	0	0	0	0
Ctns	10	6	4	6	10	10	16	8
Ctps	9	42	13	12	16	6	10	18
Ctps2	14	12	12	4	15	5	4	16
Ctr9	22	31	39	36	48	39	31	58
Ctrb1	0	0	0	0	0	2	0	0
Ctrc	0	0	0	0	0	0	0	0
Ctrcos	0	0	0	0	0	0	0	0
Ctrl	0	0	0	0	2	0	0	2
Cts3	0	0	0	0	0	0	0	0
Cts6	0	0	0	0	0	0	0	0
Cts7	0	0	0	0	0	0	0	0
Cts8	0	0	0	0	0	0	0	0
Cts8-ps	0	0	0	0	0	0	0	0
Ctsa	40	101	75	53	79	63	84	90
Ctsb	198	265	372	214	241	177	237	255
Ctsc	39	51	90	43	50	32	36	56
Ctsd	133	255	273	153	237	103	156	276
Ctse	31	20	9	51	36	47	72	35
Ctsf	5	8	6	0	0	0	6	4
Ctsg	0	0	0	0	0	0	0	0
Ctsh	30	26	46	30	35	21	22	37
Ctsj	0	0	0	0	0	0	0	0
Ctsk	0	4	4	0	11	0	0	6
Ctsl	44	57	80	43	83	36	74	86
Ctsll3	0	0	0	0	0	0	0	0
Ctsm	0	0	0	0	0	0	0	0
Ctso	2	2	17	4	15	4	2	7
Ctsq	0	0	0	0	0	0	0	0
Ctsr	0	0	0	0	0	0	0	0
Ctss	136	31	109	121	54	85	102	53
Ctsw	4	0	0	0	0	4	0	0
Ctsz	56	104	78	45	76	59	62	58
Cttn	196	147	168	130	132	170	160	109
Cttnbp2	4	1	2	4	2	2	4	4
Cttnbp2nl	59	51	52	26	54	45	58	86
Ctu1	4	12	10	6	8	6	14	10
Ctu2	4	14	18	2	2	2	0	12
Ctxn1	4	14	10	6	18	2	10	16
Ctxn2	0	0	0	0	0	0	0	0
Ctxn3	0	0	0	0	0	0	0	0
Cubn	6	28	18	2	43	4	24	35
Cuedc1	14	8	8	16	11	12	8	16
Cuedc2	12	35	15	11	18	14	10	30
Cul1	54	40	35	47	54	46	40	52
Cul2	12	16	22	10	28	6	14	33
Cul3	36	44	42	40	49	34	18	42
Cul4a	44	42	35	31	78	50	27	74
Cul4b	18	14	28	6	18	19	27	28
Cul5	12	24	28	10	16	4	16	24
Cul7	4	20	19	10	35	4	2	31
Cul9	4	5	4	4	6	0	5	8
Cuta	14	3	14	10	12	18	14	16
Cutal	26	0	17	32	2	34	44	3
Cutc	15	3	5	4	2	3	4	0
Cux1	47	58	37	46	41	51	69	40
Cux2	0	0	0	0	4	0	0	2
Cuzd1	0	0	0	0	0	0	0	0
Cwc15	16	14	21	32	37	28	14	24
Cwc22	6	28	22	17	16	19	8	24
Cwc25	12	4	5	6	16	8	6	21
Cwc27	6	14	2	4	0	2	6	10
Cwf19l1	2	7	4	0	5	8	4	11
Cwf19l2	3	4	8	6	8	4	8	13
Cwh43	14	4	50	8	2	8	15	10
Cx3cl1	60	8	47	70	13	43	66	28
Cx3cr1	2	14	8	2	2	2	0	6
Cxadr	113	126	69	125	157	107	119	147
Cxcl1	0	2	4	2	18	0	6	22
Cxcl10	0	6	8	4	12	0	2	2
Cxcl11	0	0	0	0	0	2	0	0
Cxcl12	15	2	20	8	8	12	18	8
Cxcl13	4	0	0	6	4	0	0	0
Cxcl14	14	20	56	8	34	1	12	53
Cxcl15	0	0	0	0	0	0	2	0
Cxcl16	14	17	32	18	19	7	6	17
Cxcl17	0	0	0	0	0	0	0	0
Cxcl2	0	13	4	2	27	0	12	15
Cxcl3	0	4	0	0	0	0	0	2
Cxcl5	8	54	41	10	76	7	13	44
Cxcl9	0	6	24	2	18	0	0	0
Cxcr1	0	0	0	0	2	0	0	0
Cxcr2	0	4	0	0	2	0	0	2
Cxcr3	0	0	0	0	0	0	2	2
Cxcr4	0	2	14	4	6	0	0	6
Cxcr5	0	0	0	2	0	0	0	0
Cxcr6	0	0	6	0	0	2	0	0
Cxx1a	0	2	0	2	0	0	0	0
Cxx1b	0	0	0	0	0	0	4	1
Cxx1c	2	4	0	0	0	0	0	0
Cxxc1	20	39	41	45	39	22	21	31
Cxxc4	0	0	0	0	0	0	0	0
Cxxc5	0	17	7	0	9	0	8	17
Cyb561	65	58	55	55	50	65	80	59
Cyb561a3	7	20	2	14	8	16	18	12
Cyb561d1	4	8	12	17	5	13	7	5
Cyb561d2	6	4	2	0	16	8	6	11
Cyb5a	24	31	22	15	21	12	12	22
Cyb5b	169	123	125	142	126	150	135	93
Cyb5d1	6	4	2	2	2	2	0	8
Cyb5d2	2	0	0	6	4	2	2	4
Cyb5r1	14	13	14	13	6	2	0	14
Cyb5r2	2	0	0	0	2	0	0	2
Cyb5r3	47	37	52	38	56	54	77	65
Cyb5r4	34	20	31	40	22	28	13	13
Cyb5rl	2	0	0	2	2	0	2	2
Cyba	34	100	78	49	91	59	64	49
Cybb	4	10	36	15	8	4	8	12
Cybrd1	0	2	0	4	2	0	0	8
Cyc1	124	79	53	78	80	115	98	86
Cycs	64	46	45	65	46	63	74	45
Cyct	0	0	0	0	0	0	0	0
Cyfip1	77	83	98	76	56	63	72	79
Cyfip2	2	0	8	10	2	4	4	2
Cygb	4	2	22	4	4	2	2	2
Cyhr1	31	63	44	34	52	42	45	37
Cylc1	0	0	0	0	0	0	0	0
Cylc2	0	0	0	0	0	0	0	0
Cyld	22	24	30	26	31	13	14	22
Cym	0	0	0	0	0	0	0	0
Cyp11a1	0	0	1	0	2	0	0	2
Cyp11b1	0	0	0	0	0	0	0	0
Cyp11b2	0	0	0	0	0	0	0	0
Cyp17a1	0	0	0	0	0	0	0	0
Cyp19a1	0	0	0	0	0	0	0	0
Cyp1a1	0	0	0	0	0	0	0	0
Cyp1a2	0	0	0	0	0	0	0	0
Cyp1b1	0	0	0	0	0	0	0	0
Cyp20a1	2	6	2	6	6	6	4	4
Cyp21a1	0	0	8	0	6	0	2	2
Cyp24a1	0	0	0	0	0	0	0	0
Cyp26a1	0	0	0	0	0	0	0	0
Cyp26b1	0	0	0	6	0	0	0	2
Cyp26c1	0	0	0	0	0	0	0	0
Cyp27a1	11	35	13	14	40	8	39	36
Cyp27b1	0	0	0	0	0	0	0	0
Cyp2a12	0	0	0	0	0	0	0	0
Cyp2a22	0	0	0	0	0	0	0	0
Cyp2a4	0	0	0	0	0	0	0	0
Cyp2a5	0	0	0	0	0	0	0	0
Cyp2ab1	0	0	0	0	0	0	0	0
Cyp2b10	0	4	2	0	12	0	2	2
Cyp2b13	0	0	0	0	0	0	0	0
Cyp2b19	0	0	0	0	0	0	0	0
Cyp2b23	0	0	0	0	0	0	0	0
Cyp2b9	0	0	0	0	0	0	0	0
Cyp2c29	0	0	0	0	0	0	0	0
Cyp2c37	0	0	0	0	0	0	0	0
Cyp2c38	0	0	0	0	0	0	0	0
Cyp2c39	0	0	0	0	0	0	0	0
Cyp2c40	0	0	0	0	0	0	0	0
Cyp2c44	0	0	6	0	0	0	0	0
Cyp2c50	0	0	0	0	0	0	0	0
Cyp2c53-ps	0	0	0	0	0	0	0	0
Cyp2c54	0	0	0	0	0	0	0	0
Cyp2c55	318	0	2	219	0	245	73	0
Cyp2c65	10	0	0	22	0	12	2	2
Cyp2c66	0	0	0	0	0	0	0	0
Cyp2c67	0	0	0	0	0	1	0	0
Cyp2c68	16	4	0	16	2	27	38	0
Cyp2c69	0	0	0	2	0	4	0	0
Cyp2c70	0	0	0	0	0	0	0	0
Cyp2d10	7	0	0	26	0	18	32	0
Cyp2d11	0	0	0	0	0	0	0	0
Cyp2d12	18	0	2	23	0	24	26	0
Cyp2d13	8	0	0	6	0	17	11	0
Cyp2d22	18	0	4	8	2	8	6	0
Cyp2d26	2	4	2	10	2	6	4	0
Cyp2d34	130	5	36	127	4	106	153	7
Cyp2d37-ps	1	0	0	4	0	0	0	0
Cyp2d40	0	0	0	0	0	0	0	0
Cyp2d9	13	0	4	10	0	19	36	0
Cyp2e1	2	0	0	0	0	0	0	2
Cyp2f2	2	2	0	4	0	2	18	0
Cyp2g1	0	0	0	0	0	0	0	0
Cyp2j11	0	0	0	0	0	0	0	0
Cyp2j12	0	0	0	0	0	0	0	0
Cyp2j13	0	0	0	0	0	0	0	0
Cyp2j5	0	0	0	0	0	2	0	0
Cyp2j6	30	35	29	21	20	22	12	13
Cyp2j8	0	0	0	0	0	0	0	0
Cyp2j9	2	2	0	0	0	2	0	0
Cyp2r1	4	0	0	0	2	0	2	0
Cyp2s1	25	2	2	18	0	44	36	6
Cyp2t4	0	0	0	0	0	0	0	0
Cyp2u1	0	0	0	0	2	2	0	0
Cyp2w1	2	2	0	6	2	2	2	0
Cyp39a1	4	11	12	8	22	6	2	20
Cyp3a11	0	0	0	0	0	0	0	0
Cyp3a13	19	0	2	46	6	62	76	2
Cyp3a16	0	0	0	0	0	0	0	0
Cyp3a25	0	0	0	0	0	0	0	0
Cyp3a41a	0	0	0	0	0	0	0	0
Cyp3a41b	0	0	0	0	0	0	0	0
Cyp3a44	0	0	0	0	0	0	0	0
Cyp3a57	0	0	0	0	0	0	0	0
Cyp3a59	0	0	0	0	0	0	0	0
Cyp46a1	0	0	4	0	0	0	0	0
Cyp4a10	0	0	0	0	0	0	0	0
Cyp4a12a	0	0	0	0	0	0	0	0
Cyp4a12b	0	0	0	0	0	0	0	0
Cyp4a14	0	0	0	0	0	0	0	0
Cyp4a29	0	0	0	0	0	0	0	0
Cyp4a30b	0	0	0	0	0	0	0	0
Cyp4a31	0	0	0	0	0	0	0	0
Cyp4a32	0	0	0	0	0	0	0	0
Cyp4b1	0	0	0	4	0	0	0	0
Cyp4b1-ps2	0	0	0	0	0	0	0	0
Cyp4f13	20	14	9	6	9	12	14	2
Cyp4f14	37	2	0	49	0	84	45	0
Cyp4f15	0	0	0	0	0	0	0	0
Cyp4f16	12	26	18	22	6	33	48	8
Cyp4f17	2	2	4	4	2	2	1	2
Cyp4f18	0	4	4	0	2	0	0	8
Cyp4f37	0	0	0	0	0	0	0	0
Cyp4f39	0	2	0	0	0	0	0	2
Cyp4f40	32	7	17	22	4	16	26	2
Cyp4f41-ps	0	0	0	2	0	0	0	0
Cyp4v3	6	6	8	10	10	2	4	4
Cyp4x1	4	0	0	0	0	0	0	0
Cyp4x1os	0	0	0	0	0	0	0	0
Cyp51	76	81	89	64	68	51	37	67
Cyp7a1	0	0	0	0	0	0	0	0
Cyp7b1	0	0	2	2	0	0	0	0
Cyp8b1	0	0	0	0	0	0	0	0
Cypt1	0	0	0	0	0	0	0	0
Cypt10	0	0	0	0	0	0	0	0
Cypt12	0	0	0	0	0	0	0	0
Cypt14	0	0	0	0	0	0	0	0
Cypt15	0	0	0	0	0	0	0	0
Cypt2	0	0	0	0	0	0	0	0
Cypt3	0	0	0	0	0	0	0	0
Cypt4	0	0	0	0	0	0	0	0
